D,1,2,3,4,5,6,7,8,9,10,11
2020-05-28,U,U,U,U,U,U,U,U,U,U,U
2020-05-29,U,U,U,R,U,R,U,R,U,U,R
2020-05-30,R,R,R,R,R,R,R,R,R,R,R
2020-06-01,R,R,R,R,R,R,R,R,R,R,R
2020-06-02,R,R,R,R,R,R,R,R,R,R,R
2020-06-03,R,R,R,R,R,R,R,R,R,R,R
2020-06-04,V,V,R,V,R,V,R,R,R,R,V
2020-06-05,V,V,V,V,V,V,R,V,V,V,V
2020-06-06,V,V,V,V,V,V,V,V,V,V,V
2020-06-07,V,V,V,V,V,V,V,V,V,V,O
2020-06-08,V,V,V,V,V,O,V,V,V,V,O
2020-06-09,V,O,V,O,V,O,V,V,O,O,O
2020-06-10,O,O,O,O,V,O,V,O,O,O,O
2020-06-11,O,O,O,O,O,O,O,O,O,O,O
2020-06-12,O,O,O,O,O,O,O,O,O,O,O
2020-06-13,O,O,O,O,O,O,O,O,O,O,O
2020-06-14,O,O,O,O,O,O,O,O,O,O,O
2020-06-15,O,O,O,O,O,O,O,O,O,O,O
2020-06-16,O,O,O,O,O,O,O,O,O,O,O
2020-06-17,O,O,O,O,O,O,O,O,O,O,O